Date,J-Date,Open,High,Low,Close,Final,Volume,Value,No,Ticker,Name,Market
2023-02-12,1401-11-23,30520.0,30520.0,29510.0,29560.0,30080.0,2557814.0,76351354270.0,1332.0,پارسان,گسترش نفت و گاز پارسیان,بورس
2023-02-13,1401-11-24,29970.0,30000.0,29020.0,29100.0,29290.0,4714569.0,138099874170.0,1759.0,پارسان,گسترش نفت و گاز پارسیان,بورس
2023-02-14,1401-11-25,29280.0,29280.0,28320.0,28350.0,28710.0,3539682.0,101411293490.0,1263.0,پارسان,گسترش نفت و گاز پارسیان,بورس
2023-02-15,1401-11-26,28670.0,28670.0,27880.0,27970.0,28260.0,2414443.0,67541306560.0,856.0,پارسان,گسترش نفت و گاز پارسیان,بورس
2023-02-19,1401-11-30,27910.0,28570.0,27850.0,28150.0,28220.0,3215491.0,90704772810.0,839.0,پارسان,گسترش نفت و گاز پارسیان,بورس
2023-02-20,1401-12-01,28600.0,30190.0,28500.0,30140.0,30130.0,39774539.0,1198468181010.0,2264.0,پارسان,گسترش نفت و گاز پارسیان,بورس
2023-02-21,1401-12-02,31000.0,32230.0,30900.0,32000.0,32060.0,24979199.0,800952047250.0,2244.0,پارسان,گسترش نفت و گاز پارسیان,بورس
2023-02-22,1401-12-03,31030.0,32480.0,31020.0,32350.0,32130.0,5585583.0,179488910640.0,1053.0,پارسان,گسترش نفت و گاز پارسیان,بورس
2023-02-25,1401-12-06,34300.0,34370.0,33250.0,34370.0,34370.0,38201368.0,1312909416840.0,2597.0,پارسان,گسترش نفت و گاز پارسیان,بورس
2023-02-26,1401-12-07,36770.0,36770.0,34420.0,35090.0,36060.0,22433799.0,808971852420.0,2754.0,پارسان,گسترش نفت و گاز پارسیان,بورس
2023-02-27,1401-12-08,35400.0,35890.0,34010.0,34800.0,34960.0,8914127.0,311600801910.0,2313.0,پارسان,گسترش نفت و گاز پارسیان,بورس
2023-02-28,1401-12-09,34900.0,35490.0,34080.0,34970.0,35000.0,7422077.0,259787065310.0,1130.0,پارسان,گسترش نفت و گاز پارسیان,بورس
2023-03-01,1401-12-10,34750.0,35000.0,32960.0,33060.0,34000.0,10660107.0,362434817370.0,3225.0,پارسان,گسترش نفت و گاز پارسیان,بورس
2023-03-04,1401-12-13,33060.0,33850.0,32650.0,33150.0,33170.0,5539178.0,183761703960.0,1100.0,پارسان,گسترش نفت و گاز پارسیان,بورس
2023-03-05,1401-12-14,33500.0,33500.0,32700.0,33000.0,33070.0,2757840.0,91141857760.0,757.0,پارسان,گسترش نفت و گاز پارسیان,بورس
2023-03-06,1401-12-15,33000.0,33400.0,32000.0,33080.0,32960.0,8508002.0,280388838830.0,832.0,پارسان,گسترش نفت و گاز پارسیان,بورس
2023-03-07,1401-12-16,33070.0,34490.0,32900.0,34250.0,33380.0,7830607.0,261394291030.0,1007.0,پارسان,گسترش نفت و گاز پارسیان,بورس
2023-03-11,1401-12-20,34490.0,34490.0,32500.0,32500.0,33110.0,6890925.0,228165317100.0,1339.0,پارسان,گسترش نفت و گاز پارسیان,بورس
2023-03-12,1401-12-21,32400.0,33200.0,31940.0,32320.0,32590.0,3821380.0,124542505770.0,999.0,پارسان,گسترش نفت و گاز پارسیان,بورس
2023-03-13,1401-12-22,32320.0,33360.0,32110.0,32290.0,32440.0,4927892.0,159850275580.0,793.0,پارسان,گسترش نفت و گاز پارسیان,بورس
2023-03-14,1401-12-23,32440.0,32600.0,32430.0,32440.0,32470.0,5946588.0,193065367950.0,925.0,پارسان,گسترش نفت و گاز پارسیان,بورس
2023-03-15,1401-12-24,32480.0,34740.0,32400.0,34720.0,33730.0,6003833.0,202489794800.0,1072.0,پارسان,گسترش نفت و گاز پارسیان,بورس
2023-03-18,1401-12-27,35970.0,36090.0,34520.0,36090.0,36080.0,9866060.0,356011320060.0,894.0,پارسان,گسترش نفت و گاز پارسیان,بورس
2023-03-19,1401-12-28,36090.0,37870.0,36090.0,37800.0,37330.0,5362532.0,200191914060.0,1059.0,پارسان,گسترش نفت و گاز پارسیان,بورس
2023-03-25,1402-01-05,38500.0,38500.0,36300.0,37770.0,37420.0,1439247.0,54022109860.0,709.0,پارسان,گسترش نفت و گاز پارسیان,بورس
2023-03-26,1402-01-06,37770.0,38500.0,36320.0,36980.0,37520.0,2601485.0,97676147030.0,820.0,پارسان,گسترش نفت و گاز پارسیان,بورس
2023-03-27,1402-01-07,37650.0,37800.0,36010.0,37500.0,37490.0,2214338.0,82983405030.0,801.0,پارسان,گسترش نفت و گاز پارسیان,بورس
2023-03-28,1402-01-08,38500.0,38500.0,36710.0,37270.0,37300.0,3056977.0,114010653120.0,1010.0,پارسان,گسترش نفت و گاز پارسیان,بورس
2023-03-29,1402-01-09,37200.0,39910.0,36800.0,39910.0,38910.0,7664237.0,298241510220.0,1602.0,پارسان,گسترش نفت و گاز پارسیان,بورس
2023-04-03,1402-01-14,38500.0,39640.0,38100.0,39630.0,38990.0,5259382.0,205047823910.0,1254.0,پارسان,گسترش نفت و گاز پارسیان,بورس
2023-04-04,1402-01-15,39400.0,41340.0,38170.0,38460.0,38690.0,7329499.0,283550838070.0,1805.0,پارسان,گسترش نفت و گاز پارسیان,بورس
2023-04-05,1402-01-16,38200.0,39400.0,37810.0,38500.0,38480.0,4662059.0,179386022500.0,1065.0,پارسان,گسترش نفت و گاز پارسیان,بورس
2023-04-08,1402-01-19,38100.0,40050.0,38100.0,39200.0,39410.0,7380688.0,290888012710.0,1627.0,پارسان,گسترش نفت و گاز پارسیان,بورس
2023-04-09,1402-01-20,39190.0,40000.0,38790.0,38810.0,39090.0,6096202.0,238322795130.0,1576.0,پارسان,گسترش نفت و گاز پارسیان,بورس
2023-04-10,1402-01-21,39070.0,39490.0,37800.0,38000.0,38570.0,6313826.0,243495875180.0,1521.0,پارسان,گسترش نفت و گاز پارسیان,بورس
2023-04-11,1402-01-22,37420.0,39980.0,37420.0,39000.0,38490.0,3030539.0,116645995440.0,967.0,پارسان,گسترش نفت و گاز پارسیان,بورس
2023-04-15,1402-01-26,40000.0,41180.0,40000.0,41180.0,41180.0,17513480.0,721142039220.0,1295.0,پارسان,گسترش نفت و گاز پارسیان,بورس
2023-04-16,1402-01-27,43850.0,44060.0,41550.0,44050.0,43830.0,21362621.0,936391801450.0,3460.0,پارسان,گسترش نفت و گاز پارسیان,بورس
2023-04-17,1402-01-28,44850.0,45100.0,43080.0,44000.0,44330.0,7091864.0,314415216720.0,2125.0,پارسان,گسترش نفت و گاز پارسیان,بورس
2023-04-18,1402-01-29,44250.0,45750.0,43130.0,44390.0,44710.0,3962397.0,177158822680.0,1559.0,پارسان,گسترش نفت و گاز پارسیان,بورس
2023-04-19,1402-01-30,43690.0,45000.0,43350.0,43690.0,43930.0,8206408.0,360469527790.0,2412.0,پارسان,گسترش نفت و گاز پارسیان,بورس
2023-04-24,1402-02-04,43360.0,43910.0,42510.0,43350.0,43210.0,3805611.0,164433887520.0,1564.0,پارسان,گسترش نفت و گاز پارسیان,بورس
2023-04-25,1402-02-05,43910.0,45600.0,43010.0,43500.0,44260.0,3996699.0,176912406110.0,1122.0,پارسان,گسترش نفت و گاز پارسیان,بورس
2023-04-26,1402-02-06,43100.0,44790.0,42850.0,44030.0,44120.0,2974080.0,131219782580.0,886.0,پارسان,گسترش نفت و گاز پارسیان,بورس
2023-04-29,1402-02-09,45000.0,47100.0,43600.0,46660.0,45990.0,7277670.0,334736389490.0,1427.0,پارسان,گسترش نفت و گاز پارسیان,بورس
2023-04-30,1402-02-10,47190.0,47190.0,45960.0,46000.0,46190.0,3558088.0,164358883130.0,1110.0,پارسان,گسترش نفت و گاز پارسیان,بورس
2023-05-01,1402-02-11,46000.0,46500.0,45500.0,46360.0,46110.0,3465657.0,159814786230.0,938.0,پارسان,گسترش نفت و گاز پارسیان,بورس
2023-05-02,1402-02-12,45640.0,46990.0,45640.0,46110.0,46120.0,2745072.0,126596394260.0,929.0,پارسان,گسترش نفت و گاز پارسیان,بورس
2023-05-03,1402-02-13,46880.0,46880.0,45500.0,45600.0,45930.0,6840835.0,314205241410.0,1149.0,پارسان,گسترش نفت و گاز پارسیان,بورس
2023-05-06,1402-02-16,45990.0,48500.0,44610.0,47100.0,45850.0,5337960.0,244764631220.0,1746.0,پارسان,گسترش نفت و گاز پارسیان,بورس
2023-05-07,1402-02-17,46210.0,47890.0,42650.0,42650.0,43720.0,14391340.0,629227621810.0,2867.0,پارسان,گسترش نفت و گاز پارسیان,بورس
2023-05-08,1402-02-18,41400.0,42110.0,40660.0,40660.0,40770.0,14096151.0,574746776120.0,1242.0,پارسان,گسترش نفت و گاز پارسیان,بورس
2023-05-09,1402-02-19,38010.0,41730.0,38010.0,41590.0,40760.0,5689885.0,231909501310.0,1116.0,پارسان,گسترش نفت و گاز پارسیان,بورس
2023-05-10,1402-02-20,42000.0,42000.0,39460.0,39910.0,40350.0,9073060.0,366078625360.0,1564.0,پارسان,گسترش نفت و گاز پارسیان,بورس
2023-05-13,1402-02-23,38850.0,40340.0,38580.0,39730.0,39560.0,8173999.0,323342126840.0,1692.0,پارسان,گسترش نفت و گاز پارسیان,بورس
2023-05-14,1402-02-24,42000.0,42000.0,40110.0,41010.0,40610.0,5161684.0,209638611670.0,1151.0,پارسان,گسترش نفت و گاز پارسیان,بورس
2023-05-15,1402-02-25,41990.0,41990.0,40110.0,40520.0,40450.0,7810199.0,315951152770.0,722.0,پارسان,گسترش نفت و گاز پارسیان,بورس
2023-05-17,1402-02-27,40530.0,41590.0,40170.0,40400.0,40470.0,1293028.0,52355788100.0,535.0,پارسان,گسترش نفت و گاز پارسیان,بورس
2023-05-20,1402-02-30,41000.0,41000.0,38910.0,39690.0,39430.0,4361665.0,171971339950.0,1242.0,پارسان,گسترش نفت و گاز پارسیان,بورس
2023-05-21,1402-02-31,39900.0,39980.0,39230.0,39440.0,39500.0,1265659.0,50121665320.0,412.0,پارسان,گسترش نفت و گاز پارسیان,بورس
2023-05-22,1402-03-01,40130.0,41210.0,39000.0,39240.0,39600.0,2431414.0,96339604530.0,702.0,پارسان,گسترش نفت و گاز پارسیان,بورس
2023-05-23,1402-03-02,39600.0,39990.0,39530.0,39980.0,39640.0,1596911.0,63355619370.0,433.0,پارسان,گسترش نفت و گاز پارسیان,بورس
2023-05-24,1402-03-03,41200.0,41520.0,39900.0,39900.0,40640.0,2476528.0,101122121440.0,736.0,پارسان,گسترش نفت و گاز پارسیان,بورس
2023-05-27,1402-03-06,39350.0,40260.0,39120.0,39400.0,39350.0,3132218.0,123248478340.0,611.0,پارسان,گسترش نفت و گاز پارسیان,بورس
2023-05-28,1402-03-07,40200.0,40200.0,37960.0,38380.0,38360.0,3310880.0,126997110950.0,1180.0,پارسان,گسترش نفت و گاز پارسیان,بورس
2023-05-29,1402-03-08,38040.0,39460.0,37750.0,38720.0,38730.0,2243278.0,87135335190.0,1222.0,پارسان,گسترش نفت و گاز پارسیان,بورس
2023-05-30,1402-03-09,38400.0,39070.0,38200.0,38270.0,38600.0,1952819.0,75252678350.0,999.0,پارسان,گسترش نفت و گاز پارسیان,بورس
2023-05-31,1402-03-10,38560.0,39000.0,38000.0,38070.0,38470.0,1391928.0,53335100720.0,423.0,پارسان,گسترش نفت و گاز پارسیان,بورس
2023-06-03,1402-03-13,38470.0,38960.0,38280.0,38540.0,38470.0,896382.0,34479378600.0,285.0,پارسان,گسترش نفت و گاز پارسیان,بورس
2023-06-06,1402-03-16,38480.0,38840.0,38300.0,38490.0,38490.0,1092228.0,42082287680.0,412.0,پارسان,گسترش نفت و گاز پارسیان,بورس
2023-06-07,1402-03-17,38800.0,38800.0,38400.0,38600.0,38530.0,968192.0,37380041870.0,278.0,پارسان,گسترش نفت و گاز پارسیان,بورس
2023-06-10,1402-03-20,38700.0,38700.0,35840.0,37100.0,37270.0,8941800.0,333262805300.0,1898.0,پارسان,گسترش نفت و گاز پارسیان,بورس
2023-06-11,1402-03-21,37000.0,38250.0,37000.0,37300.0,37340.0,2237370.0,83600011240.0,468.0,پارسان,گسترش نفت و گاز پارسیان,بورس
2023-06-12,1402-03-22,37100.0,38090.0,34780.0,35040.0,35400.0,3313118.0,117285333530.0,902.0,پارسان,گسترش نفت و گاز پارسیان,بورس
2023-06-13,1402-03-23,35300.0,35720.0,34680.0,35490.0,35360.0,788934.0,27789417110.0,450.0,پارسان,گسترش نفت و گاز پارسیان,بورس
2023-06-14,1402-03-24,35990.0,36260.0,35000.0,35170.0,35470.0,989195.0,35326002880.0,406.0,پارسان,گسترش نفت و گاز پارسیان,بورس
2023-06-17,1402-03-27,35060.0,36320.0,34460.0,35000.0,35340.0,1177148.0,41306299770.0,419.0,پارسان,گسترش نفت و گاز پارسیان,بورس
2023-06-18,1402-03-28,34400.0,35670.0,34400.0,35240.0,34870.0,2936600.0,102178228920.0,385.0,پارسان,گسترش نفت و گاز پارسیان,بورس
2023-06-19,1402-03-29,35190.0,35540.0,34600.0,34710.0,34860.0,2446960.0,85276884250.0,443.0,پارسان,گسترش نفت و گاز پارسیان,بورس
2023-06-20,1402-03-30,35000.0,35360.0,34360.0,35300.0,34860.0,1291474.0,45011720920.0,358.0,پارسان,گسترش نفت و گاز پارسیان,بورس
2023-06-21,1402-03-31,35880.0,35880.0,34810.0,35090.0,34890.0,640831.0,22437364400.0,561.0,پارسان,گسترش نفت و گاز پارسیان,بورس
2023-06-24,1402-04-03,35030.0,36180.0,34890.0,35060.0,34940.0,1112502.0,38978793250.0,376.0,پارسان,گسترش نفت و گاز پارسیان,بورس
2023-06-25,1402-04-04,36880.0,36880.0,35610.0,36230.0,35450.0,1513425.0,54639577150.0,466.0,پارسان,گسترش نفت و گاز پارسیان,بورس
2023-06-26,1402-04-05,36500.0,36500.0,35020.0,35700.0,35540.0,1822459.0,64910694920.0,368.0,پارسان,گسترش نفت و گاز پارسیان,بورس
2023-06-27,1402-04-06,35100.0,35100.0,33060.0,33060.0,33240.0,24999018.0,830935230110.0,2574.0,پارسان,گسترش نفت و گاز پارسیان,بورس
2023-06-28,1402-04-07,30920.0,32790.0,30920.0,31550.0,31050.0,27289623.0,847399625510.0,2666.0,پارسان,گسترش نفت و گاز پارسیان,بورس
2023-07-01,1402-04-10,31550.0,31550.0,30840.0,31000.0,31060.0,7993059.0,248255800840.0,1411.0,پارسان,گسترش نفت و گاز پارسیان,بورس
2023-07-02,1402-04-11,31150.0,31580.0,30940.0,31450.0,31060.0,11350933.0,352504680920.0,1832.0,پارسان,گسترش نفت و گاز پارسیان,بورس
2023-07-03,1402-04-12,31210.0,32200.0,31210.0,31890.0,31900.0,5343928.0,170491338830.0,1388.0,پارسان,گسترش نفت و گاز پارسیان,بورس
2023-07-04,1402-04-13,32250.0,32250.0,30680.0,31370.0,31260.0,6041204.0,188876534830.0,1701.0,پارسان,گسترش نفت و گاز پارسیان,بورس
2023-07-05,1402-04-14,31990.0,31990.0,31250.0,31250.0,31310.0,1551197.0,48671054650.0,671.0,پارسان,گسترش نفت و گاز پارسیان,بورس
2023-07-08,1402-04-17,31310.0,32000.0,31170.0,31300.0,31310.0,2160047.0,67625279160.0,671.0,پارسان,گسترش نفت و گاز پارسیان,بورس
2023-07-09,1402-04-18,31280.0,31880.0,31200.0,31310.0,31420.0,3792516.0,119168995740.0,754.0,پارسان,گسترش نفت و گاز پارسیان,بورس
2023-07-10,1402-04-19,31220.0,31790.0,30900.0,31240.0,31280.0,2271549.0,70825025630.0,607.0,پارسان,گسترش نفت و گاز پارسیان,بورس
2023-07-11,1402-04-20,31490.0,31500.0,30340.0,30360.0,30730.0,3293657.0,100906013200.0,767.0,پارسان,گسترش نفت و گاز پارسیان,بورس
2023-07-12,1402-04-21,30700.0,30700.0,29200.0,29690.0,29570.0,4418285.0,130668585080.0,809.0,پارسان,گسترش نفت و گاز پارسیان,بورس
2023-07-15,1402-04-24,29750.0,30740.0,29100.0,29170.0,29620.0,1556935.0,46244030010.0,544.0,پارسان,گسترش نفت و گاز پارسیان,بورس
2023-07-16,1402-04-25,29800.0,30680.0,28050.0,28990.0,29290.0,1708582.0,49271689970.0,742.0,پارسان,گسترش نفت و گاز پارسیان,بورس
2023-07-17,1402-04-26,28660.0,29470.0,27480.0,28450.0,27920.0,4785764.0,133616405060.0,1564.0,پارسان,گسترش نفت و گاز پارسیان,بورس
2023-07-18,1402-04-27,29290.0,29870.0,28710.0,29870.0,29300.0,3446861.0,101848160520.0,821.0,پارسان,گسترش نفت و گاز پارسیان,بورس
2023-07-19,1402-04-28,31200.0,31200.0,28450.0,28540.0,29460.0,3864865.0,113894054000.0,1311.0,پارسان,گسترش نفت و گاز پارسیان,بورس
2023-07-22,1402-04-31,27450.0,28400.0,27410.0,27720.0,28160.0,3284729.0,91456770800.0,968.0,پارسان,گسترش نفت و گاز پارسیان,بورس
2023-07-23,1402-05-01,27400.0,28780.0,27400.0,27740.0,28170.0,2773296.0,78149980940.0,657.0,پارسان,گسترش نفت و گاز پارسیان,بورس
2023-07-24,1402-05-02,29990.0,29990.0,28690.0,28900.0,28840.0,3251887.0,94325524320.0,819.0,پارسان,گسترش نفت و گاز پارسیان,بورس
2023-07-25,1402-05-03,30000.0,30170.0,29130.0,29390.0,29670.0,4289632.0,127270080900.0,993.0,پارسان,گسترش نفت و گاز پارسیان,بورس
2023-07-26,1402-05-04,30150.0,30150.0,29160.0,29830.0,29710.0,3646649.0,108343579020.0,591.0,پارسان,گسترش نفت و گاز پارسیان,بورس
2023-07-29,1402-05-07,30030.0,30770.0,29640.0,29710.0,29870.0,1853269.0,55704078140.0,632.0,پارسان,گسترش نفت و گاز پارسیان,بورس
2023-07-30,1402-05-08,30000.0,30260.0,28990.0,29750.0,29640.0,2951723.0,87234874740.0,640.0,پارسان,گسترش نفت و گاز پارسیان,بورس
2023-07-31,1402-05-09,30000.0,30720.0,29940.0,30430.0,29900.0,1647550.0,49898629970.0,527.0,پارسان,گسترش نفت و گاز پارسیان,بورس
2023-08-01,1402-05-10,30480.0,31990.0,30310.0,31900.0,31010.0,6959363.0,215816611720.0,987.0,پارسان,گسترش نفت و گاز پارسیان,بورس
2023-08-02,1402-05-10,30480.0,31990.0,30310.0,31900.0,31010.0,6959363.0,215816611720.0,987.0,پارسان,گسترش نفت و گاز پارسیان,بورس
2023-08-05,1402-05-14,32700.0,32700.0,31520.0,32400.0,32210.0,4218054.0,135883085730.0,1142.0,پارسان,گسترش نفت و گاز پارسیان,بورس
2023-08-06,1402-05-15,32500.0,32500.0,31910.0,32390.0,32280.0,3561370.0,114993313160.0,1151.0,پارسان,گسترش نفت و گاز پارسیان,بورس
2023-08-07,1402-05-16,32250.0,32480.0,31650.0,32200.0,32130.0,4607639.0,148040433700.0,1220.0,پارسان,گسترش نفت و گاز پارسیان,بورس
2023-08-08,1402-05-17,32390.0,32390.0,31660.0,31760.0,32010.0,2046972.0,65295684530.0,639.0,پارسان,گسترش نفت و گاز پارسیان,بورس
2023-08-09,1402-05-18,32980.0,33000.0,32180.0,32300.0,32370.0,4899635.0,158601470310.0,901.0,پارسان,گسترش نفت و گاز پارسیان,بورس
2023-08-12,1402-05-21,32000.0,32280.0,31360.0,31370.0,31900.0,2349679.0,74308356170.0,724.0,پارسان,گسترش نفت و گاز پارسیان,بورس
2023-08-13,1402-05-22,30790.0,33500.0,30790.0,32110.0,31940.0,1401060.0,44831453070.0,433.0,پارسان,گسترش نفت و گاز پارسیان,بورس
2023-08-14,1402-05-23,32000.0,32420.0,31970.0,32000.0,32020.0,2039535.0,65453647120.0,451.0,پارسان,گسترش نفت و گاز پارسیان,بورس
2023-08-15,1402-05-24,31990.0,32020.0,31790.0,31810.0,31970.0,1463721.0,46701193810.0,538.0,پارسان,گسترش نفت و گاز پارسیان,بورس
2023-08-16,1402-05-25,32190.0,32190.0,31750.0,31970.0,31950.0,1130894.0,36073931490.0,421.0,پارسان,گسترش نفت و گاز پارسیان,بورس
2023-08-19,1402-05-28,31640.0,31840.0,31250.0,31300.0,31820.0,1034518.0,32557632150.0,485.0,پارسان,گسترش نفت و گاز پارسیان,بورس
2023-08-20,1402-05-29,31170.0,32200.0,31170.0,31860.0,31840.0,2126752.0,67750616250.0,526.0,پارسان,گسترش نفت و گاز پارسیان,بورس
2023-08-21,1402-05-30,32180.0,32190.0,31670.0,31670.0,31840.0,827241.0,26326214840.0,288.0,پارسان,گسترش نفت و گاز پارسیان,بورس
2023-08-22,1402-05-31,32190.0,32190.0,31200.0,31400.0,31780.0,922565.0,29143524140.0,424.0,پارسان,گسترش نفت و گاز پارسیان,بورس
2023-08-23,1402-06-01,32080.0,32860.0,31820.0,32550.0,31960.0,1597157.0,51433342400.0,608.0,پارسان,گسترش نفت و گاز پارسیان,بورس
2023-08-26,1402-06-04,32760.0,33600.0,32100.0,33360.0,32420.0,1941803.0,63793016000.0,650.0,پارسان,گسترش نفت و گاز پارسیان,بورس
2023-08-27,1402-06-05,33750.0,34580.0,33000.0,33800.0,34080.0,4094512.0,139535484190.0,992.0,پارسان,گسترش نفت و گاز پارسیان,بورس
2023-08-28,1402-06-06,35000.0,36460.0,34200.0,36460.0,36430.0,33366772.0,1215448556040.0,2550.0,پارسان,گسترش نفت و گاز پارسیان,بورس
2023-08-29,1402-06-07,36980.0,38980.0,36580.0,36750.0,37750.0,9114766.0,344121775370.0,2181.0,پارسان,گسترش نفت و گاز پارسیان,بورس
2023-08-30,1402-06-08,37490.0,38500.0,36900.0,37490.0,37610.0,5613529.0,211150418600.0,1526.0,پارسان,گسترش نفت و گاز پارسیان,بورس
2023-09-02,1402-06-11,38890.0,38890.0,36750.0,37490.0,37380.0,4595449.0,171764002060.0,1274.0,پارسان,گسترش نفت و گاز پارسیان,بورس
2023-09-03,1402-06-12,37510.0,38100.0,36790.0,37410.0,37480.0,2963629.0,111109853250.0,890.0,پارسان,گسترش نفت و گاز پارسیان,بورس
2023-09-04,1402-06-13,37000.0,39000.0,36960.0,37960.0,38290.0,4085167.0,156401864170.0,1266.0,پارسان,گسترش نفت و گاز پارسیان,بورس
2023-09-05,1402-06-14,37900.0,39160.0,37900.0,38400.0,38560.0,3747158.0,144484567980.0,985.0,پارسان,گسترش نفت و گاز پارسیان,بورس
2023-09-09,1402-06-18,39280.0,39280.0,38000.0,38320.0,38600.0,3505690.0,135326153810.0,1100.0,پارسان,گسترش نفت و گاز پارسیان,بورس
2023-09-10,1402-06-19,38900.0,38900.0,38120.0,38390.0,38450.0,3973601.0,152791112520.0,784.0,پارسان,گسترش نفت و گاز پارسیان,بورس
2023-09-11,1402-06-20,38250.0,38890.0,38250.0,38520.0,38630.0,3540350.0,136750467250.0,715.0,پارسان,گسترش نفت و گاز پارسیان,بورس
2023-09-12,1402-06-21,38540.0,39080.0,38540.0,38730.0,38830.0,2890238.0,112274173780.0,515.0,پارسان,گسترش نفت و گاز پارسیان,بورس
2023-09-13,1402-06-22,39180.0,39180.0,38670.0,38980.0,38800.0,3517638.0,136499647430.0,626.0,پارسان,گسترش نفت و گاز پارسیان,بورس
2023-09-17,1402-06-26,39010.0,39670.0,39010.0,39630.0,39300.0,2301032.0,90826867440.0,860.0,پارسان,گسترش نفت و گاز پارسیان,بورس
2023-09-18,1402-06-27,39510.0,40170.0,39000.0,39640.0,39720.0,3734554.0,148349534640.0,884.0,پارسان,گسترش نفت و گاز پارسیان,بورس
2023-09-19,1402-06-28,39560.0,40130.0,39530.0,39700.0,39720.0,2355808.0,93565192050.0,580.0,پارسان,گسترش نفت و گاز پارسیان,بورس
2023-09-20,1402-06-29,39710.0,39950.0,39500.0,39700.0,39720.0,1602083.0,63620002030.0,394.0,پارسان,گسترش نفت و گاز پارسیان,بورس
2023-09-23,1402-07-01,39420.0,39910.0,39420.0,39700.0,39720.0,1843387.0,73228821190.0,431.0,پارسان,گسترش نفت و گاز پارسیان,بورس
2023-09-25,1402-07-03,39740.0,39760.0,38900.0,39000.0,39360.0,2288068.0,89794753710.0,777.0,پارسان,گسترش نفت و گاز پارسیان,بورس
2023-09-26,1402-07-04,39330.0,39350.0,38890.0,38920.0,39180.0,1601938.0,62500957320.0,579.0,پارسان,گسترش نفت و گاز پارسیان,بورس
2023-09-27,1402-07-05,39000.0,39230.0,38650.0,38900.0,38980.0,2393823.0,93175885710.0,955.0,پارسان,گسترش نفت و گاز پارسیان,بورس
2023-09-30,1402-07-08,38800.0,39000.0,38500.0,38550.0,38890.0,1174055.0,45494903940.0,528.0,پارسان,گسترش نفت و گاز پارسیان,بورس
2023-10-01,1402-07-09,38500.0,38560.0,37300.0,37500.0,37780.0,4432831.0,167464902340.0,1193.0,پارسان,گسترش نفت و گاز پارسیان,بورس
2023-10-02,1402-07-10,37500.0,38200.0,37500.0,37940.0,37840.0,1213129.0,46006915720.0,363.0,پارسان,گسترش نفت و گاز پارسیان,بورس
2023-10-04,1402-07-12,37820.0,38800.0,37760.0,37840.0,37890.0,1593044.0,60422394700.0,391.0,پارسان,گسترش نفت و گاز پارسیان,بورس
2023-10-07,1402-07-15,37840.0,37840.0,36960.0,37560.0,37580.0,1858391.0,69419255670.0,563.0,پارسان,گسترش نفت و گاز پارسیان,بورس
2023-10-08,1402-07-16,37460.0,37740.0,35700.0,35980.0,36100.0,7763575.0,280275507810.0,1475.0,پارسان,گسترش نفت و گاز پارسیان,بورس
2023-10-09,1402-07-17,34290.0,36400.0,34290.0,35960.0,36070.0,954554.0,34355348340.0,525.0,پارسان,گسترش نفت و گاز پارسیان,بورس
2023-10-10,1402-07-18,35970.0,37500.0,35970.0,37120.0,36530.0,1632387.0,60350449180.0,582.0,پارسان,گسترش نفت و گاز پارسیان,بورس
2023-10-11,1402-07-19,37120.0,38350.0,36850.0,37110.0,37560.0,3630007.0,136347237440.0,1120.0,پارسان,گسترش نفت و گاز پارسیان,بورس
2023-10-14,1402-07-22,36760.0,37500.0,36500.0,37020.0,37210.0,2164276.0,80184776550.0,982.0,پارسان,گسترش نفت و گاز پارسیان,بورس
2023-10-15,1402-07-23,36700.0,38890.0,36700.0,38020.0,37580.0,1705844.0,64640772020.0,779.0,پارسان,گسترش نفت و گاز پارسیان,بورس
2023-10-16,1402-07-24,38300.0,38940.0,37700.0,37980.0,37950.0,2846201.0,108149786220.0,1370.0,پارسان,گسترش نفت و گاز پارسیان,بورس
2023-10-17,1402-07-25,38500.0,38850.0,38000.0,38790.0,38320.0,2501747.0,96126515100.0,667.0,پارسان,گسترش نفت و گاز پارسیان,بورس
2023-10-18,1402-07-26,38900.0,38900.0,37890.0,38400.0,38320.0,1288069.0,49373627450.0,494.0,پارسان,گسترش نفت و گاز پارسیان,بورس
2023-10-21,1402-07-29,38480.0,38530.0,38120.0,38400.0,38330.0,922228.0,35376783000.0,359.0,پارسان,گسترش نفت و گاز پارسیان,بورس
2023-10-22,1402-07-30,38550.0,38800.0,38280.0,38300.0,38360.0,688736.0,26478146730.0,368.0,پارسان,گسترش نفت و گاز پارسیان,بورس
2023-10-23,1402-08-01,38700.0,38950.0,38370.0,38660.0,38440.0,1580085.0,60853322510.0,487.0,پارسان,گسترش نفت و گاز پارسیان,بورس
2023-10-24,1402-08-02,38650.0,38650.0,37410.0,37660.0,37870.0,2264451.0,85264398180.0,592.0,پارسان,گسترش نفت و گاز پارسیان,بورس
2023-10-25,1402-08-03,37820.0,38550.0,37710.0,38020.0,37870.0,1989538.0,75349219770.0,569.0,پارسان,گسترش نفت و گاز پارسیان,بورس
2023-10-28,1402-08-06,37900.0,37900.0,36500.0,36710.0,37350.0,1686467.0,62218714110.0,731.0,پارسان,گسترش نفت و گاز پارسیان,بورس
2023-10-29,1402-08-07,37350.0,38190.0,37350.0,38070.0,37570.0,1460359.0,55253331070.0,399.0,پارسان,گسترش نفت و گاز پارسیان,بورس
